,bike_name,price,kms_driven,owner,age,power,city_code,brand_code
24579,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
24580,KTM RC 390cc,196700,13216,0,4,390,3,9
24581,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
24582,Yamaha Fazer 25,123000,14500,0,4,250,387,3
24583,Royal Enfield Classic,95500,18000,0,8,350,1,1
24584,Hero Passion Pro,32000,12000,0,6,100,1,5
24585,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
24586,Hero Passion 100cc,15000,35000,1,19,100,388,5
24587,Hero Passion Pro,39000,22000,0,4,100,1,5
24588,TVS Apache RTR,30000,6639,0,9,180,19,0
24589,Bajaj Avenger Street,60000,20373,0,6,220,1,6
24590,Hero Super Splendor,15600,84186,0,16,125,18,5
24591,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
24592,Yamaha FZ 150cc,45000,18742,0,6,150,30,3
24593,Honda CB Trigger,43000,42837,0,8,150,2,4
24594,Yamaha YZF-R15 2.0,55000,27000,0,9,150,209,3
24595,Hero CBZ Xtreme,11900,34968,0,14,150,11,5
24596,Royal Enfield Bullet,105000,20000,0,4,350,1,1
24597,Hero Passion 100cc,18000,3869,0,16,100,7,5
24598,Bajaj Pulsar NS200,48000,41939,0,8,200,14,6
24599,Bajaj Avenger 220cc,50000,29134,0,7,220,2,6
24600,Hero Hunk Rear,25000,48587,0,8,150,1,5
24601,Bajaj Avenger Street,70000,8000,0,5,220,3,6
24602,Honda CB Hornet,87000,140,0,3,160,10,4
24603,Bajaj Pulsar 150cc,10000,64955,0,15,150,38,6
24604,Yamaha Fazer 150cc,25000,65000,0,12,150,1,3
24605,Hero CD Deluxe,18000,22824,0,8,100,30,5
24606,Bajaj Pulsar 150cc,14227,36000,0,15,150,41,6
24607,Bajaj Avenger 220cc,35000,60000,0,9,220,2,6
24608,Harley-Davidson Street 750,450000,3430,0,4,750,184,14
24609,Bajaj Dominar 400,139000,21300,0,4,400,7,6
24610,Bajaj Avenger Street,80000,7127,0,5,220,7,6
24611,Yamaha FZ 150cc,45000,18742,0,6,150,30,3
24612,Honda CB Trigger,43000,42837,0,8,150,2,4
24613,Yamaha YZF-R15 2.0,55000,27000,0,9,150,209,3
24614,Hero CBZ Xtreme,11900,34968,0,14,150,11,5
24615,Royal Enfield Bullet,105000,20000,0,4,350,1,1
24616,Hero Passion 100cc,18000,3869,0,16,100,7,5
24617,Bajaj Pulsar NS200,48000,41939,0,8,200,14,6
24618,Bajaj Avenger 220cc,50000,29134,0,7,220,2,6
24619,Hero Hunk Rear,25000,48587,0,8,150,1,5
24620,Bajaj Avenger Street,70000,8000,0,5,220,3,6
24621,Honda CB Hornet,87000,140,0,3,160,10,4
24622,Bajaj Pulsar 150cc,10000,64955,0,15,150,38,6
24623,Yamaha Fazer 150cc,25000,65000,0,12,150,1,3
24624,Hero CD Deluxe,18000,22824,0,8,100,30,5
24625,Bajaj Pulsar 150cc,14227,36000,0,15,150,41,6
24626,Bajaj Avenger 220cc,35000,60000,0,9,220,2,6
24627,Harley-Davidson Street 750,450000,3430,0,4,750,184,14
24628,Bajaj Dominar 400,139000,21300,0,4,400,7,6
24629,Bajaj Avenger Street,80000,7127,0,5,220,7,6
24630,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
24631,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
24632,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
24633,Bajaj Avenger Street,55005,6600,0,5,220,85,6
24634,Royal Enfield Classic,87000,16336,0,7,350,104,1
24635,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
24636,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
24637,KTM RC 390cc,196700,13216,0,4,390,3,9
24638,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
24639,Yamaha Fazer 25,123000,14500,0,4,250,387,3
24640,Royal Enfield Classic,95500,18000,0,8,350,1,1
24641,Hero Passion Pro,32000,12000,0,6,100,1,5
24642,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
24643,Hero Passion 100cc,15000,35000,1,19,100,388,5
24644,Hero Passion Pro,39000,22000,0,4,100,1,5
24645,TVS Apache RTR,30000,6639,0,9,180,19,0
24646,Bajaj Avenger Street,60000,20373,0,6,220,1,6
24647,Hero Super Splendor,15600,84186,0,16,125,18,5
24648,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
24649,Yamaha FZ 150cc,45000,18742,0,6,150,30,3
24650,Honda CB Trigger,43000,42837,0,8,150,2,4
24651,Yamaha YZF-R15 2.0,55000,27000,0,9,150,209,3
24652,Hero CBZ Xtreme,11900,34968,0,14,150,11,5
24653,Royal Enfield Bullet,105000,20000,0,4,350,1,1
24654,Hero Passion 100cc,18000,3869,0,16,100,7,5
24655,Bajaj Pulsar NS200,48000,41939,0,8,200,14,6
24656,Bajaj Avenger 220cc,50000,29134,0,7,220,2,6
24657,Hero Hunk Rear,25000,48587,0,8,150,1,5
24658,Bajaj Avenger Street,70000,8000,0,5,220,3,6
24659,Honda CB Hornet,87000,140,0,3,160,10,4
24660,Bajaj Pulsar 150cc,10000,64955,0,15,150,38,6
24661,Yamaha Fazer 150cc,25000,65000,0,12,150,1,3
24662,Hero CD Deluxe,18000,22824,0,8,100,30,5
24663,Bajaj Pulsar 150cc,14227,36000,0,15,150,41,6
24664,Bajaj Avenger 220cc,35000,60000,0,9,220,2,6
24665,Harley-Davidson Street 750,450000,3430,0,4,750,184,14
24666,Bajaj Dominar 400,139000,21300,0,4,400,7,6
24667,Bajaj Avenger Street,80000,7127,0,5,220,7,6
24668,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
24669,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
24670,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
24671,Bajaj Avenger Street,55005,6600,0,5,220,85,6
24672,Royal Enfield Classic,87000,16336,0,7,350,104,1
24673,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
24674,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
24675,KTM RC 390cc,196700,13216,0,4,390,3,9
24676,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
24677,Yamaha Fazer 25,123000,14500,0,4,250,387,3
24678,Royal Enfield Classic,95500,18000,0,8,350,1,1
24679,Hero Passion Pro,32000,12000,0,6,100,1,5
24680,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
24681,Hero Passion 100cc,15000,35000,1,19,100,388,5
24682,Hero Passion Pro,39000,22000,0,4,100,1,5
24683,TVS Apache RTR,30000,6639,0,9,180,19,0
24684,Bajaj Avenger Street,60000,20373,0,6,220,1,6
24685,Hero Super Splendor,15600,84186,0,16,125,18,5
24686,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
24687,Yamaha FZ 150cc,45000,18742,0,6,150,30,3
24688,Honda CB Trigger,43000,42837,0,8,150,2,4
24689,Yamaha YZF-R15 2.0,55000,27000,0,9,150,209,3
24690,Hero CBZ Xtreme,11900,34968,0,14,150,11,5
24691,Royal Enfield Bullet,105000,20000,0,4,350,1,1
24692,Hero Passion 100cc,18000,3869,0,16,100,7,5
24693,Bajaj Pulsar NS200,48000,41939,0,8,200,14,6
24694,Bajaj Avenger 220cc,50000,29134,0,7,220,2,6
24695,Hero Hunk Rear,25000,48587,0,8,150,1,5
24696,Bajaj Avenger Street,70000,8000,0,5,220,3,6
24697,Honda CB Hornet,87000,140,0,3,160,10,4
24698,Bajaj Pulsar 150cc,10000,64955,0,15,150,38,6
24699,Yamaha Fazer 150cc,25000,65000,0,12,150,1,3
24700,Hero CD Deluxe,18000,22824,0,8,100,30,5
24701,Bajaj Pulsar 150cc,14227,36000,0,15,150,41,6
24702,Bajaj Avenger 220cc,35000,60000,0,9,220,2,6
24703,Harley-Davidson Street 750,450000,3430,0,4,750,184,14
24704,Bajaj Dominar 400,139000,21300,0,4,400,7,6
24705,Bajaj Avenger Street,80000,7127,0,5,220,7,6
24706,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
24707,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
24708,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
24709,Bajaj Avenger Street,55005,6600,0,5,220,85,6
24710,Royal Enfield Classic,87000,16336,0,7,350,104,1
24711,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
24712,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
24713,KTM RC 390cc,196700,13216,0,4,390,3,9
24714,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
24715,Yamaha Fazer 25,123000,14500,0,4,250,387,3
24716,Royal Enfield Classic,95500,18000,0,8,350,1,1
24717,Hero Passion Pro,32000,12000,0,6,100,1,5
24718,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
24719,Hero Passion 100cc,15000,35000,1,19,100,388,5
